,adcode,address,adname,alias,biz_ext,biz_type,business_area,children,citycode,cityname,discount_num,distance,email,entr_location,event,exit_location,gridcode,groupbuy_num,id,importance,indoor_data,indoor_map,line_count,location,match,name,navi_poiid,pcode,photos,pname,poiweight,postcode,query_name,recommend,shopid,shopinfo,tag,tel,timestamp,type,typecode,website
BV10005242,110113,顺19路;顺22路;顺24路;顺39路;顺40路;顺41路,顺义区,[],"{'rating': [], 'cost': []}",[],仁和,[],010,北京市,0,[],[],[],[],[],6016156220,0,BV10005242,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"116.651512,40.140339",0,龙府花园(公交站),[],110000,[],北京市,[],[],龙府花园(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10014877,440118,增城109路,增城区,[],"{'rating': [], 'cost': []}",[],[],[],020,广州市,0,[],[],[],[],[],3413766712,0,BV10014877,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"113.848030,23.305548",0,光辉村(公交站),[],440000,[],广东省,[],[],光辉村(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10015443,440118,增城104路,增城区,[],"{'rating': [], 'cost': []}",[],[],[],020,广州市,0,[],[],[],[],[],3413652002,0,BV10015443,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,13,"113.633644,23.183355",0,九如村(公交站),[],440000,[],广东省,[],[],九如村(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10020692,440111,758路,白云区,[],"{'rating': [], 'cost': []}",[],[],[],020,广州市,0,[],[],[],[],[],3413736311,0,BV10020692,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"113.417397,23.304991",0,飞鹅村(公交站),[],440000,[],广东省,[],[],飞鹅村(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10021673,440106,32路;78A路;133路;406路环线;560路;B11路,天河区,[],"{'rating': [], 'cost': []}",[],五山,[],020,广州市,0,[],[],[],[],[],3413527700,0,BV10021673,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"113.339828,23.143402",0,天润路(公交站),[],440000,[],广东省,[],[],天润路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10022197,440111,481路,白云区,[],"{'rating': [], 'cost': []}",[],[],[],020,广州市,0,[],[],[],[],[],3413528122,0,BV10022197,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,7,"113.272583,23.157036",0,政通路(公交站),[],440000,[],广东省,[],[],政通路(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10022426,440111,424路;743路,白云区,[],"{'rating': [], 'cost': []}",[],白云大道,[],020,广州市,0,[],[],[],[],[],3413627401,0,BV10022426,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,3,"113.305038,23.225330",0,永康路(公交站),[],440000,[],广东省,[],[],永康路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10027249,310151,南堡专线;南堡二线;堡胜专线;崇明乡村9路,崇明区,[],"{'rating': [], 'cost': []}",[],[],[],021,上海市,0,[],[],[],[],[],4721247700,0,BV10027249,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"121.591171,31.560333",0,高石桥(公交站),[],310000,[],上海市,[],[],高石桥(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10036560,310114,嘉定65路,嘉定区,[],"{'rating': [], 'cost': []}",[],[],[],021,上海市,0,[],[],[],[],[],4621722220,0,BV10036560,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,5,"121.276352,31.273785",0,倪家桥(公交站),[],310000,[],上海市,[],[],倪家桥(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10037846,310116,奉卫线;浦卫专线,金山区,[],"{'rating': [], 'cost': []}",[],[],[],021,上海市,0,[],[],[],[],[],4621136411,0,BV10037846,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,7,"121.430420,30.805382",0,天华路(公交站),[],310000,[],上海市,[],[],天华路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10041680,120110,677路;677路区间;677路大圈;689路/(临时)689路,东丽区,[],"{'rating': [], 'cost': []}",[],[],[],022,天津市,0,[],[],[],[],[],5817535222,0,BV10041680,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,2,"117.409142,39.133030",0,航空路(公交站),[],120000,[],天津市,[],[],航空路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10045466,500112,126路;606路;606路区间车;606路夜班;607路;621路;624路;633路;877路;878路;专线路,渝北区,[],"{'rating': [], 'cost': []}",[],[],[],023,重庆市,0,[],[],[],[],[],4406346322,0,BV10045466,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,3,"106.546478,29.639393",0,金福路(公交站),[],500000,[],重庆市,[],[],金福路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10045892,500104,235路,大渡口区,[],"{'rating': [], 'cost': []}",[],[],[],023,重庆市,0,[],[],[],[],[],4406130722,0,BV10045892,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,6,"106.472191,29.423164",0,迎春桥(公交站),[],500000,[],重庆市,[],[],迎春桥(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10046640,500103,418路;471路;837路,渝中区,[],"{'rating': [], 'cost': []}",[],[],[],023,重庆市,0,[],[],[],[],[],4406245011,0,BV10046640,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,5,"106.508194,29.545109",0,石油路口(公交站),[],500000,[],重庆市,[],[],石油路口(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10047107,500105,615路;夜640线,江北区,[],"{'rating': [], 'cost': []}",[],[],[],023,重庆市,0,[],[],[],[],[],4406330720,0,BV10047107,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,4,"106.463684,29.590763",0,国奥村(公交站),[],500000,[],重庆市,[],[],国奥村(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10058032,420105,607路;812路,汉阳区,[],"{'rating': [], 'cost': []}",[],琴断口,[],027,武汉市,0,[],[],[],[],[],4514617710,0,BV10058032,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,7,"114.213547,30.561775",0,永丰路(公交站),[],420000,[],湖北省,[],[],永丰路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060961,510105,16路;26路;45路;61路;63路;78路;118路;334路;G67路;机场专线2号线,青羊区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504708510,0,BV10060961,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.066093,30.654024",0,人民南路一段站(公交站),[],510000,[],四川省,[],[],人民南路一段(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060962,510104,8路;16路;45路;61路;63路;78路;99路;118路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504707520,0,BV10060962,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.065971,30.648724",0,锦江宾馆站(公交站),[],510000,[],四川省,[],[],锦江宾馆(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060964,510107,8路;16路;45路;61路;63路;78路;99路;118路;298路夜间专线;机场专线1号线;社区巴士1025路,武侯区,[],"{'rating': [], 'cost': []}",[],小天竺,[],028,成都市,0,[],[],[],[],[],4504707500,0,BV10060964,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.066177,30.641771",0,华西坝站(公交站),[],510000,[],四川省,[],[],华西坝(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060966,510107,8路;16路;45路;61路;63路;78路;99路;118路;298路夜间专线;社区巴士1025路,武侯区,[],"{'rating': [], 'cost': []}",[],小天竺,[],028,成都市,0,[],[],[],[],[],4504706510,0,BV10060966,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.066559,30.638542",0,人民南路三段中站(公交站),[],510000,[],四川省,[],[],人民南路三段中(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060967,510107,16路;63路;99路;118路;501路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504705511,0,BV10060967,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,5,"104.066833,30.630100",0,人民南路四段北站(公交站),[],510000,[],四川省,[],[],人民南路四段北(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060968,510107,74路;118路;220路;501路;504路;506路;898路;G51路;G53路;G54路;G56路;G57路;G67路;G69路;G83路;高峰快线G32路;高峰快线G84路;(停运)1128路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504700511,0,BV10060968,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,7,"104.067642,30.587948",0,天府长城站(公交站),[],510000,[],四川省,[],[],天府长城(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060970,510107,74路;118路;501路;504路;506路;898路;G51路;G53路;G54路;G57路;G67路;G69路;G83路;高峰快线G32路;高峰快线G84路;(停运)1128路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504609501,0,BV10060970,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,6,"104.068558,30.577700",0,天府大道北段站(公交站),[],510000,[],四川省,[],[],天府大道北段(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060972,510107,84路;115路;118路;240A路;240B路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504607600,0,BV10060972,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,4,"104.075111,30.560993",0,新会展中心北侧站(公交站),[],510000,[],四川省,[],[],新会展中心北侧(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060973,510107,84路;102路;115路;118路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504606621,0,BV10060973,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,4,"104.080193,30.556763",0,新会展中心东侧站(公交站),[],510000,[],四川省,[],[],新会展中心东侧(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060974,510107,84路;102路;115路;118路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504606600,0,BV10060974,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,4,"104.075813,30.551516",0,新会展中心南侧站(公交站),[],510000,[],四川省,[],[],新会展中心南侧(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060975,510107,84路;102路;115路;118路;171A路;171B路;188路;259路;298路夜间专线;404路;507路;(停运)1096路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504605522,0,BV10060975,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.071930,30.547729",0,天府软件园东侧站(公交站),[],510000,[],四川省,[],[],天府软件园东侧(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060976,510107,84路;102路;115路;118路;298路夜间专线,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504605502,0,BV10060976,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,5,"104.072052,30.542877",0,新会展中心(公交站),[],510000,[],四川省,[],[],新会展中心公交站(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060983,510107,84路;102路;115路;118路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504607600,0,BV10060983,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,4,"104.077637,30.560465",0,新会展北侧世纪城路口站(公交站),[],510000,[],四川省,[],[],新会展北侧世纪城路口(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060985,510107,11路;12路;28路;61路;63路;91路;93路;100路;120路;121路;124路;187路;220路;523路;804路;805路;824路;G78路;社区巴士1100路;高峰快线G72路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504700212,0,BV10060985,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,20,"104.034851,30.586550",0,石羊场(公交站),[],510000,[],四川省,[],[],石羊场公交站(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060986,510107,12路;55路;61路;91路;93路;120路;121路;824路;G78路;社区巴士1100路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504700212,0,BV10060986,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,9,"104.036781,30.586954",0,国防乐园站(公交站),[],510000,[],四川省,[],[],国防乐园(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060988,510107,12路;26路;61路;502路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504702302,0,BV10060988,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,4,"104.049599,30.602644",0,三环路石羊立交桥北站(公交站),[],510000,[],四川省,[],[],三环路石羊立交桥北(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060990,510107,12路;26路;247路;502路;G60路,武侯区,[],"{'rating': [], 'cost': []}",[],紫荆,[],028,成都市,0,[],[],[],[],[],4504703312,0,BV10060990,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"104.048309,30.612192",0,神仙树南路站(公交站),[],510000,[],四川省,[],[],神仙树南路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060991,510107,12路;26路;111路;502路;社区巴士1023路,武侯区,[],"{'rating': [], 'cost': []}",[],紫荆,[],028,成都市,0,[],[],[],[],[],4504704302,0,BV10060991,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"104.047897,30.617765",0,神仙树北路南站(公交站),[],510000,[],四川省,[],[],神仙树北路南(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060992,510107,12路;26路;111路;502路;社区巴士1023路,武侯区,[],"{'rating': [], 'cost': []}",[],紫荆,[],028,成都市,0,[],[],[],[],[],4504704312,0,BV10060992,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,4,"104.048683,30.619856",0,神仙树北路站(公交站),[],510000,[],四川省,[],[],神仙树北路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060996,510107,12路;59路;61路;76路;77路;109路;115路,武侯区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504705412,0,BV10060996,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,7,"104.058487,30.628798",0,玉林北路站(公交站),[],510000,[],四川省,[],[],玉林北路(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10060998,510107,12路;12路区间;19路;27路;72路;76路;141路;298路夜间专线;501路;(停运)高峰快线G27路,武侯区,[],"{'rating': [], 'cost': []}",[],小天竺,[],028,成都市,0,[],[],[],[],[],4504706501,0,BV10060998,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,5,"104.070160,30.633516",0,一环路南二段站(公交站),[],510000,[],四川省,[],[],一环路南二段(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061000,510107,12路;12路区间;19路;27路;34路;72路;92路;102路;社区巴士1130路;(停运)高峰快线G27路;(停运)高峰快线G34路,武侯区,[],"{'rating': [], 'cost': []}",[],小天竺,[],028,成都市,0,[],[],[],[],[],4504706611,0,BV10061000,[],"{'cpid': [], 'floor': [], 'truefloor': []}",0,8,"104.081955,30.636511",0,红瓦寺站(公交站),[],510000,[],四川省,[],[],红瓦寺(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061002,510104,3路;12路;12路区间;18路;56A路;56路;68路;74路;82路;343路;1093路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504706710,0,BV10061002,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,6,"104.091637,30.637964",0,九眼桥东站(公交站),[],510000,[],四川省,[],[],九眼桥东(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061003,510104,343路;1093路;社区巴士1107路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504706701,0,BV10061003,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"104.095299,30.635889",0,莲桂西路站(公交站),[],510000,[],四川省,[],[],莲桂西路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061004,510104,51路;65路;75路;91路;106路;114路;343路;1093路;社区巴士1107路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504706702,0,BV10061004,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,9,"104.099686,30.633871",0,莲花一区站(公交站),[],510000,[],四川省,[],[],莲花一区(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061005,510104,51路;65路;75路;91路;106路;114路;1093路;社区巴士1087路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504705712,0,BV10061005,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,8,"104.097069,30.630182",0,莲桂南路站(公交站),[],510000,[],四川省,[],[],莲桂南路(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061006,510104,12路;12路区间;51路;56A路;56路;79路;138路;186路;218路;332路;336路;343路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504705800,0,BV10061006,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,9,"104.100853,30.625811",0,净居寺二环路口站(公交站),[],510000,[],四川省,[],[],净居寺二环路口(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061007,510104,12路;12路区间;51路;56A路;56路;79路;138路;186路;218路;332路;336路;343路;社区巴士1018路,锦江区,[],"{'rating': [], 'cost': []}",[],静居寺,[],028,成都市,0,[],[],[],[],[],4504704821,0,BV10061007,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,10,"104.106041,30.622284",0,净居寺站(公交站),[],510000,[],四川省,[],[],净居寺(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061008,510104,12路;12路区间;79路;218路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504704910,0,BV10061008,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,3,"104.114594,30.619804",0,净居寺南路站(公交站),[],510000,[],四川省,[],[],净居寺南路(公交站),3,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
BV10061009,510104,12路;12路区间;47路;79路;104路;218路;230路;313路;1046路;社区巴士1117路,锦江区,[],"{'rating': [], 'cost': []}",[],[],[],028,成都市,0,[],[],[],[],[],4504704912,0,BV10061009,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,9,"104.124809,30.621429",0,沙河铺路口站(公交站),[],510000,[],四川省,[],[],沙河铺路口(公交站),0,[],2,[],[],[],交通设施服务;公交车站;公交车站相关,150700,[]
